lat,lon,store
-8.11883,113.39225,Y074
-6.73771,108.34615,V049
-6.95897,107.75785,B606
-7.69075,109.03631,I330
-4.01509,119.6577,R154
-8.82388,115.16407,Q136
-7.44573,112.72497,U386
-7.68142,111.3392,O320
-6.24548,106.73157,AB58
-7.28281,112.71822,U074
-5.12678,119.4383,R023
-6.2846,106.78108,K715
-6.91491,107.53667,N347
-7.35051,108.30589,B555
-6.76303,108.59776,V233
-7.85133,111.46964,O319
-3.46004,104.23467,P133
-2.93411,104.7154,P100
-5.14476,119.42909,R082
-6.23204,106.70182,AA74
-7.26979,112.73091,U092
-7.33077,112.7044,U310
-5.39719,105.21309,L397
-6.74203,108.43944,V176
-5.16824,119.49914,R152
-6.5665,107.45379,CA31
-7.28067,112.69066,U227
-7.22559,112.55061,U228
-6.16553,106.53194,T112
-6.17994,106.45074,T120
-7.01069,110.4361,H251
-6.37645,105.82775,T461
-6.23376,106.7573,K821
-6.90865,107.67264,B716
-8.59446,116.10998,Q146
-6.91508,107.63113,B454
-6.9172,107.69879,B597
-3.23779,104.43718,P015
-6.32014,108.32721,V005
-6.40839,108.25632,V011
-7.17329,112.60365,U230
-6.89761,113.15428,U233
-7.03607,107.71567,B605
-2.98064,104.75729,P032
-2.91377,104.6674,P033
-7.02069,110.69963,H499
-7.9098,112.62002,M507
-6.30502,107.93356,V107
-6.31451,108.02951,V114
-6.12463,106.61043,T233
-7.0375,107.97769,B712
-6.36047,106.9767,EB17
-6.70517,108.41664,V058
-6.71233,108.51903,V061
-7.26581,112.72411,U410
-6.8898,107.63017,B373
-6.91817,107.7071,B698
-6.6615,105.58284,T639
-7.12105,112.60227,U120
-8.02314,113.77736,Y015
-7.60615,112.05215,M363
-6.70393,108.50778,V065
-6.64588,107.391,CB30
-6.34256,107.95637,V104
-7.02562,110.42835,H148
-3.38607,104.27034,P136
-8.13574,112.4211,M479
-4.64608,104.74007,L273
-5.20637,119.38746,R130
-4.85705,104.57172,L377
-2.97569,104.74926,P149
-6.47193,108.158,V016
-7.2882,112.76521,U132
-7.25096,112.72051,U252
-6.90157,112.14586,U249
-3.02031,104.68408,P095
-6.46172,107.6887,N382
-6.15408,106.57585,T212
-7.20847,107.88797,B623
-7.22077,107.91074,B656
